Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

animalBear,entityclasses,Entity,,,Bear,,Bär,Oso,Ours,Orso,クマ,곰,Niedźwiedź,Urso,Медведь,Ayı,熊,熊
animalBearSmall,entityclasses,Entity,,,Bear,,Bär,Oso,Ours,Orso,クマ,곰,Niedźwiedź,Urso,Медведь,Ayı,熊,熊
animalBoar,entityclasses,Entity,,,Boar,,Wildschwein,Jabalí,Sanglier,Cinghiale,イノシシ,멧돼지,Dzik,Javali,Кабан,Yabandomuzu,野猪,野豬
animalBossGrace,entityclasses,Entity,,,Huge Boar,,Riesiges Wildschwein,Jabalí gigante,Énorme sanglier,Cinghiale enorme,巨大イノシシ,거대한 멧돼지,Ogromny dzik,Javali gigante,Огромный кабан,Dev yabandomuzu,巨型野猪,巨型野豬
animalChicken,entityclasses,Entity,,,Chicken,,Huhn,Pollo,Poulet,Pollo,ニワトリ,닭,Kurczak,Galinha,Курица,Tavuk,鸡,雞
animalCoyote,entityclasses,Entity,,,Coyote,,Kojote,Coyote,Coyote,Coyote,コヨーテ,코요테,Kojot,Coiote,Койот,Çakal,丛林狼,土狼
animalDeer,entityclasses,Entity,,,Deer,,Hirsch,Ciervo,Cervidé,Cervo,シカ,사슴,Jeleń,Cervo,Олень,Geyik,鹿,鹿
animalDireWolf,entityclasses,Entity,,,Wolf,,Wolf,Lobo,Loup,Lupo,オオカミ,늑대,Wilk,Lobo,Волк,Kurt,灰狼,狼
animalDoe,entityclasses,Entity,,,Deer,,Hirsch,Ciervo,Cervidé,Cervo,シカ,사슴,Jeleń,Cervo,Олень,Geyik,鹿,鹿
animalMountainLion,entityclasses,Entity,,,Mountain Lion,,Berglöwe,Puma,Puma,Leone di montagna,クーガー,퓨마,Puma,Puma,Пума,Dağ Aslanı,美洲狮,美洲獅
animalPig,entityclasses,Entity,,,Pig,,Schwein,Cerdo,Cochon,Maiale,ブタ,돼지,Świnia,Porco,Свинья,Domuz,猪,豬
animalRabbit,entityclasses,Entity,,,Rabbit,,Hase,Conejo,Lapin,Coniglio,ウサギ,토끼,Królik,Coelho,Кролик,Tavşan,兔子,兔子
animalSnake,entityclasses,Entity,,,Snake,,Schlange,Serpiente,Serpent,Serpente,ヘビ,뱀,Wąż,Cobra,Змея,Yılan,蛇,蛇
animalStag,entityclasses,Entity,,,Deer,,Hirsch,Ciervo,Cervidé,Cervo,シカ,사슴,Jeleń,Cervo,Олень,Geyik,鹿,鹿
animalWolf,entityclasses,Entity,,,Wolf,,Wolf,Lobo,Loup,Lupo,オオカミ,늑대,Wilk,Lobo,Волк,Kurt,灰狼,狼
animalZombieBear,entityclasses,Entity,,,Bear,,Bär,Oso,Ours,Orso,クマ,곰,Niedźwiedź,Urso,Медведь,Ayı,熊,熊
animalZombieDog,entityclasses,Entity,,,Wolf,,Wolf,Lobo,Loup,Lupo,オオカミ,늑대,Wilk,Lobo,Волк,Kurt,灰狼,狼
animalZombieVulture,entityclasses,Entity,,,Vulture,,Geier,Buitre,Vautour,Avvoltoio,ハゲワシ,독수리,Sęp,Abutre,Стервятник,Akbaba,秃鹫,禿鷲
animalZombieVultureRadiated,entityclasses,Entity,,,Vulture,,Geier,Buitre,Vautour,Avvoltoio,ハゲワシ,독수리,Sęp,Abutre,Стервятник,Akbaba,秃鹫,禿鷲

npcBanditMelee,entityclasses,Entity,,,Survivor,,Überlebender,Sobreviviente,Survivant,Sopravvissuto,生存者,생존자,Ocalały,Sobrevivente,Выживший,Hayatta Kalan,幸存者,倖存者
npcBanditRanged,entityclasses,Entity,,,Survivor,,Überlebender,Sobreviviente,Survivant,Sopravvissuto,生存者,생존자,Ocalały,Sobrevivente,Выживший,Hayatta Kalan,幸存者,倖存者
npcSurvivorRanged,entityclasses,Entity,,,Survivor,,Überlebender,Sobreviviente,Survivant,Sopravvissuto,生存者,생존자,Ocalały,Sobrevivente,Выживший,Hayatta Kalan,幸存者,倖存者
npcTraderBob,entityclasses,Entity,,,Bob,,Bob,Bob,Bob,Bob,ボブ,밥,Bob,Bob,Боб,Bob,鲍勃,鮑伯
npcTraderHugh,entityclasses,Entity,,,Hugh,,Hugh,Hugh,Hugh,Hugh,ヒュー,휴,Hugh,Hugh,Хью,Hugh,休,修
npcTraderJen,entityclasses,Entity,,,Jen,,Jen,Jen,Jen,Jen,ジェン,젠,Jen,Jen,Джен,Jen,杰恩,詹
npcTraderJimmy,entityclasses,Entity,,,Jimmy,,Jimmy,Jimmy,Jimmy,Jimmy,ジミー,지미,Jimmy,Jimmy,Джимми,Jimmy,吉米,吉米
npcTraderJoel,entityclasses,Entity,,,Joel,,Joel,Joel,Joel,Joel,ジョエル,조엘,Joel,Joel,Джоэл,Joel,约珥,祖爾
npcTraderRekt,entityclasses,Entity,,,Rekt,,Rekt,Rekt,Rekt,Rekt,レクト,렉트,Rekt,Rekt,Рект,Rekt,雷克特,瑞克特
npcTrader,entityclasses,Entity,,,Trader,,Händler,Vendedor,Marchand,Negoziante,トレーダー,상인,Handlarz,Comerciante,Торговец,Tüccar,商人,商人

zombieArlene,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieArleneFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieArleneRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBehemoth,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBiker,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBikerFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBikerRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBoe,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
