Key,Source,Context,Changes,English
reqPerceptionLevel11,progression,Attribute,,Perception Level 11
reqPerceptionLevel12,progression,Attribute,,Perception Level 12
reqPerceptionLevel13,progression,Attribute,,Perception Level 13
reqStrengthLevel11,progression,Attribute,,Strength Level 11
reqStrengthLevel12,progression,Attribute,,Strength Level 12
reqStrengthLevel13,progression,Attribute,,Strength Level 13
reqFortitudeLevel11,progression,Attribute,,Fortitude Level 11
reqFortitudeLevel12,progression,Attribute,,Fortitude Level 12
reqFortitudeLevel13,progression,Attribute,,Fortitude Level 13
reqAgilityLevel11,progression,Attribute,,Agility Level 11
reqAgilityLevel12,progression,Attribute,,Agility Level 12
reqAgilityLevel13,progression,Attribute,,Agility Level 13
reqIntellectLevel11,progression,Attribute,,Intellect Level 11
reqIntellectLevel12,progression,Attribute,,Intellect Level 12
reqIntellectLevel13,progression,Attribute,,Intellect Level 13
attPerceptionRank11Desc,progression,Attribute,,Junior Perceptionist
attPerceptionRank11LongDesc,progression,Attribute,,"Deal 325% head shot damage and have 55% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank12Desc,progression,Attribute,,Elite Perceptionist
attPerceptionRank12LongDesc,progression,Attribute,,"Deal 350% head shot damage and have 65% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attPerceptionRank13Desc,progression,Attribute,,Master Perceptionist
attPerceptionRank13LongDesc,progression,Attribute,,"Deal 375% head shot damage and have 75% chance to dismember with rifles, explosives, spears and tools governed by Salvage Operations."
attStrengthRank11Desc,progression,Attribute,,Junior Power House
attStrengthRank11LongDesc,progression,Attribute,,"Deal 325% head shot damage and have 55% chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank12Desc,progression,Attribute,,Elite Power House
attStrengthRank12LongDesc,progression,Attribute,,"Deal 350% head shot damage and have 65% chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attStrengthRank13Desc,progression,Attribute,,Master Power House
attStrengthRank13LongDesc,progression,Attribute,,"Deal 375% head shot damage and have 75% chance to dismember with shotguns, clubs, sledgehammers and tools governed by Miner 69'er."
attFortitudeRank11Desc,progression,Attribute,,Junior Survivor
attFortitudeRank11LongDesc,progression,Attribute,,"Deal 325% head shot damage and have 55% chance to dismember with fists and machine guns."
attFortitudeRank12Desc,progression,Attribute,,Elite Survivor
attFortitudeRank12LongDesc,progression,Attribute,,"Deal 350% head shot damage and have 65% chance to dismember with fists and machine guns."
attFortitudeRank13Desc,progression,Attribute,,Master Survivor
attFortitudeRank13LongDesc,progression,Attribute,,"Deal 375% head shot damage and have 75% chance to dismember with fists and machine guns."
attAgilityRank11Desc,progression,Attribute,,Junior Gymnast
attAgilityRank11LongDesc,progression,Attribute,,"Junior Gymnast: Deal 325% headshot damage and have 55% chance to dismember with bows, handguns and knives."
attAgilityRank12Desc,progression,Attribute,,Elite Gymnast
attAgilityRank12LongDesc,progression,Attribute,,"Elite Gymnast: Deal 350% headshot damage and have 65% chance to dismember with bows, handguns and knives."
attAgilityRank13Desc,progression,Attribute,,Master Gymnast
attAgilityRank13LongDesc,progression,Attribute,,"Master Gymnast: Deal 375% headshot damage and have 75% chance to dismember with bows, handguns and knives."
attIntellectRank11Desc,progression,Attribute,,Junior Brainiac
attIntellectRank11LongDesc,progression,Attribute,,"Junior Brainiac: Deal 325% headshot damage and have 55% chance to dismember with stun batons and robotic turrets."
attIntellectRank12Desc,progression,Attribute,,Elite Brainiac
attIntellectRank12LongDesc,progression,Attribute,,"Elite Brainiac: Deal 350% headshot damage and have 65% chance to dismember with stun batons and robotic turrets."
attIntellectRank13Desc,progression,Attribute,,Master Brainiac
attIntellectRank13LongDesc,progression,Attribute,,"Master Brainiac: Deal 375% headshot damage and have 75% chance to dismember with stun batons and robotic turrets."
perkDeadEyeRank6Desc,progression,perk,Per,Junior Sniper
perkDeadEyeRank6LongDesc,progression,perk,Per,"Junior Sniper: Deal 60% more damage, aim 70% faster, reload 35% faster, and use 40% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 40%, 50% up to a maximum of 60%.\nUnlocks marksman rifle crafting."
perkDeadEyeRank7Desc,progression,perk,Per,Elite Sniper
perkDeadEyeRank7LongDesc,progression,perk,Per,"Elite Sniper: Deal 75% more damage, aim 80% faster, reload 40% faster, and use 50% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 50%, 60%, up to a maximum of 70%.\nUnlocks sniper rifle crafting."
perkDeadEyeRank8Desc,progression,perk,Per,Master Sniper
perkDeadEyeRank8LongDesc,progression,perk,Per,"Master Sniper: Craft quality 6 flawless rifles. Deal 100% more damage, aim 90% faster, reload 50% faster, and use 75% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 70%, 80%, up to a maximum of 90%."
perkDemolitionsExpertRank6Desc,progression,perk,Per,Junior Rocket Ranger
perkDemolitionsExpertRank6LongDesc,progression,perk,Per,"Junior Rocket Ranger: Increase damage 60%, reload speed by 40%, aim 60% faster and a 55% greater chance to dismember.\nUnlocks rocket launcher crafting."
perkDemolitionsExpertRank7Desc,progression,perk,Per,Elite Rocket Ranger
perkDemolitionsExpertRank7LongDesc,progression,perk,Per,"Elite Rocket Ranger: Increase damage 75%, reload speed by 50%, aim 70% faster and a 65% greater chance to dismember."
perkDemolitionsExpertRank8Desc,progression,perk,Per,Master Rocket Ranger
perkDemolitionsExpertRank8LongDesc,progression,perk,Per,"Master Rocket Ranger: Craft quality 6 flawless rocket launchers. Increase damage 100%, reload speed by 65%, aim 80% faster and a 75% chance to dismember."
perkJavelinMasterRank6Desc,progression,perk,Per,Junior Spear Tosser
perkJavelinMasterRank6LongDesc,progression,perk,Per,"Junior Spear Tosser: Spears do 60% more damage and have 60% more range.\nUnlocks steel spear crafting."
perkJavelinMasterRank7Desc,progression,perk,Per,Elite Spear Tosser
perkJavelinMasterRank7LongDesc,progression,perk,Per,"Elite Spear Tosser: Spears do 75% more damage and have 70% more range."
perkJavelinMasterRank8Desc,progression,perk,Per,Master Spear Tosser
perkJavelinMasterRank8LongDesc,progression,perk,Per,"Master Spear Tosser: Craft quality 6 flawless spears. Spears do 100% more damage and have 80% more range."
perkLockPickingRank4Desc,progression,perk,Per,Elite Locksmith
perkLockPickingRank4LongDesc,progression,perk,Per,"Elite Locksmith: Pick locks 80% faster and have a 50% lower chance to break lockpicks."
perkLockPickingRank5Desc,progression,perk,Per,Master Locksmith
perkLockPickingRank5LongDesc,progression,perk,Per,"Master Locksmith: Pick locks 100% faster and have a 75% lower chance to break lockpicks."
perkInfiltratorRank4Desc,progression,perk,Per,Elite Infiltrator
perkInfiltratorRank4LongDesc,progression,perk,Per,"Elite Infiltrator: Loose board traps and land mines trigger 2.5 seconds slower. Take 65% less damage from land mines."
perkInfiltratorRank5Desc,progression,perk,Per,Master Infiltrator
perkInfiltratorRank5LongDesc,progression,perk,Per,"Master Infiltrator: Loose board traps and land mines trigger 3 seconds slower. Take 80% less damage from land mines."
perkPenetratorRank5Desc,progression,perk,Per,Elite Penetrator
perkPenetratorRank5LongDesc,progression,perk,Per,"Elite Penetrator: Ignore 50% of armor with firearms, archery and spears. Armor-piercing rounds can penetrate four additional target when using rifles."
perkPenetratorRank6Desc,progression,perk,Per,Master Penetrator
perkPenetratorRank6LongDesc,progression,perk,Per,"Master Penetrator: Ignore 75% of armor with firearms, archery and spears."
perkLuckyLooterRank6Desc,progression,perk,Per,Junior Looter
perkLuckyLooterRank6LongDesc,progression,perk,Per,"Junior Looter: Adds 40% to loot bonus. Looting is 90% faster."
perkLuckyLooterRank7Desc,progression,perk,Per,Elite Looter
perkLuckyLooterRank7LongDesc,progression,perk,Per,"Elite Looter: Adds 55% to loot bonus. Looting is 95% faster."
perkLuckyLooterRank8Desc,progression,perk,Per,Master Looter
perkLuckyLooterRank8LongDesc,progression,perk,Per,"Master Looter: Adds 75% to loot bonus. Looting is 99% faster."
perkTreasureHunterRank4Desc,progression,perk,Per,Elite Treasure Hunter
perkTreasureHunterRank4LongDesc,progression,perk,Per,"Elite Treasure Hunter: For every 2 blocks dug up the treasure search radius is reduced by 1m.\nFind 50% more items in buried treasure."
perkTreasureHunterRank5Desc,progression,perk,Per,Master Treasure Hunter
perkTreasureHunterRank5LongDesc,progression,perk,Per,"Master Treasure Hunter: For every block dug up the treasure search radius is reduced by 1m.\nFind 75% more items in buried treasure."
perkSalvageOperationsRank6Desc,progression,perk,Per,Junior Scavenger
perkSalvageOperationsRank6LongDesc,progression,perk,Per,"Junior Scavenger: Deal 65% more damage, harvest 125% faster and gain 120% more resources with a wrench, ratchet or impact driver.\nUnlocks ratchet crafting."
perkSalvageOperationsRank7Desc,progression,perk,Per,Elite Scavenger
perkSalvageOperationsRank7LongDesc,progression,perk,Per,"Elite Scavenger: Deal 85% more damage, harvest 150% faster and gain 140% more resources with a wrench, ratchet or impact driver."
perkSalvageOperationsRank8Desc,progression,perk,Per,Master Scavenger
perkSalvageOperationsRank8LongDesc,progression,perk,Per,"Master Scavenger: Craft quality 6 flawless salvage tools. Deal 100% more damage, harvest 175% faster and gain 160% more resources with a wrench, ratchet or impact driver.\nUnlocks impact driver crafting."
perkBoomstickRank6Desc,progression,perk,Str,Junior Shotgunner
perkBoomstickRank6LongDesc,progression,perk,Str,"Junior Shotgunner: Deal 60% more damage, 60% faster fire rate, and a 35% faster reload with shotguns.\nUnlocks pump shotgun crafting."
perkBoomstickRank7Desc,progression,perk,Str,Elite Shotgunner
perkBoomstickRank7LongDesc,progression,perk,Str,"Elite Shotgunner: Deal 75% more damage, 70% faster fire rate, and a 40% faster reload with shotguns."
perkBoomstickRank8Desc,progression,perk,Str,Master Shotgunner
